,Rmax_kpc,V_max_fixed,A,zeta,lambda0_kpc,Rc_kpc,q_lambda,q_Rc,Nosc,L_damp,q_Ldamp,lambda_over_zeta
Rmax_kpc,1.0,0.7818408321879123,-0.10757664852229178,0.1087914621412972,0.8537971762406926,-0.2630850058940002,-0.19822197096872804,-0.7666685635313247,0.1981118358169256,0.4583673185597167,-0.19654012493993278,0.4583673185597167
V_max_fixed,0.7818408321879123,1.0,-0.2609850335437364,0.20235575543711995,0.6989825938361117,-0.38476575177744066,-0.11761433054970645,-0.7607479135932279,0.11750265679342452,0.29711597509698795,-0.22125124928832582,0.29711597509698795
A,-0.10757664852229178,-0.2609850335437364,1.0,-0.14261615649899767,-0.21243313648376944,0.19651871544321736,-0.2511706941947689,0.2626360980791361,0.2510235989291717,-0.16260954235637798,0.012038670435314728,-0.16260954235637798
zeta,0.1087914621412972,0.20235575543711995,-0.14261615649899767,1.0,0.0690119212386997,-0.09657456400589651,-0.22164524135206926,-0.19632460469619403,0.22229874125085824,-0.7247587444668088,-0.9370542437780739,-0.7247587444668088
lambda0_kpc,0.8537971762406926,0.6989825938361117,-0.21243313648376944,0.0690119212386997,1.0,-0.27666950920235633,0.2609785889899996,-0.7064201621163643,-0.26102151388526174,0.5470099520732432,-0.020422744488480166,0.5470099520732432
Rc_kpc,-0.2630850058940002,-0.38476575177744066,0.19651871544321736,-0.09657456400589651,-0.27666950920235633,1.0,-0.05729839720184559,0.7653920101636212,0.0585148526794396,-0.04064464967615443,0.048121140665518064,-0.04064464967615443
q_lambda,-0.19822197096872804,-0.11761433054970645,-0.2511706941947689,-0.22164524135206926,0.2609785889899996,-0.05729839720184559,1.0,0.06412464893862506,-0.999981002137258,0.3300135130003015,0.48942970020169174,0.3300135130003015
q_Rc,-0.7666685635313247,-0.7607479135932279,0.2626360980791361,-0.19632460469619403,-0.7064201621163643,0.7653920101636212,0.06412464893862506,1.0,-0.06349308776544765,-0.27561046548388324,0.19596982745385616,-0.27561046548388324
Nosc,0.1981118358169256,0.11750265679342452,0.2510235989291717,0.22229874125085824,-0.26102151388526174,0.0585148526794396,-0.999981002137258,-0.06349308776544765,1.0,-0.3302982056189792,-0.489869291228034,-0.3302982056189792
L_damp,0.4583673185597167,0.29711597509698795,-0.16260954235637798,-0.7247587444668088,0.5470099520732432,-0.04064464967615443,0.3300135130003015,-0.27561046548388324,-0.3302982056189792,1.0,0.7209797859233504,1.0
q_Ldamp,-0.19654012493993278,-0.22125124928832582,0.012038670435314728,-0.9370542437780739,-0.020422744488480166,0.048121140665518064,0.48942970020169174,0.19596982745385616,-0.489869291228034,0.7209797859233504,1.0,0.7209797859233503
lambda_over_zeta,0.4583673185597167,0.29711597509698795,-0.16260954235637798,-0.7247587444668088,0.5470099520732432,-0.04064464967615443,0.3300135130003015,-0.27561046548388324,-0.3302982056189792,1.0,0.7209797859233503,1.0
